高新区	59.14
金牛区	51.33
金牛区	50.89
金牛区	50.89
成华区	50.74
武侯区	50.89
武侯区	50.89
青羊区	51.27
锦江区	50.89
锦江区	58.72
成华区	59.06
成华区	59.06
金牛区	59.21
武侯区	58.69
金牛区	52.14
锦江区	50.0
成华区	51.27
青羊区	51.27
青羊区	50.89
青羊区	50.89
锦江区	50.89
锦江区	58.69
锦江区	51.33
金牛区	52.26
成华区	50.14
金牛区	58.72
青羊区	58.72
高新区	58.69
武侯区	59.02
武侯区	59.02
锦江区	59.1
青羊区	58.25
成华区	58.59
高新区	58.84
武侯区	58.69
金牛区	59.21
青羊区	50.06
锦江区	49.85
锦江区	49.99
锦江区	51.26
锦江区	51.26
青羊区	50.1
成华区	58.25
锦江区	50.8
金牛区	50.05
成华区	59.21
青羊区	52.25
锦江区	52.25
高新区	51.93
金牛区	48.06
成华区	49.85
青羊区	49.85
锦江区	50.06
青羊区	59.06
青羊区	59.06
成华区	49.03
成华区	48.48
金牛区	49.03
锦江区	48.97
金牛区	49.21
青羊区	48.97
金牛区	48.06
锦江区	58.8
金牛区	58.18
武侯区	50.88
青羊区	59.06
青羊区	59.06
锦江区	59.14
锦江区	58.25
武侯区	50.89
武侯区	50.89
锦江区	50.0
武侯区	50.89
锦江区	59.06
武侯区	59.14
锦江区	58.72
高新区	57.71
锦江区	59.06
青羊区	59.14
武侯区	59.06
武侯区	59.06
金牛区	50.74
金牛区	50.0
锦江区	50.88
锦江区	50.74
锦江区	51.26
锦江区	49.99
武侯区	51.26
武侯区	49.99
锦江区	58.18
金牛区	49.85
青羊区	52.98
青羊区	59.1
武侯区	59.1
武侯区	57.67
武侯区	60.26
成华区	41.64
金牛区	59.15
锦江区	58.69
成华区	58.69
锦江区	59.02
金牛区	59.02
金牛区	59.02
金牛区	59.02
金牛区	50.06
武侯区	50.1
青羊区	50.06
武侯区	58.69
青羊区	39.01
青羊区	39.01
锦江区	38.94
锦江区	59.1
锦江区	59.1
青羊区	58.69
锦江区	59.1
锦江区	49.85
锦江区	49.85
锦江区	51.27
金牛区	51.27
金牛区	50.89
青羊区	51.27
金牛区	51.27
金牛区	59.06
锦江区	50.76
青羊区	49.21
青羊区	49.03
武侯区	51.32
锦江区	49.99
锦江区	51.26
锦江区	59.22
锦江区	57.71
青羊区	59.06
金牛区	59.21
金牛区	58.84
青羊区	58.59
成华区	58.59
锦江区	58.84
金牛区	59.21
成华区	58.69
成华区	59.21
金牛区	58.84
高新区	50.94
金牛区	50.05
青羊区	59.06
青羊区	59.14
锦江区	58.8
青羊区	57.79
金牛区	58.8
金牛区	48.41
锦江区	50.88
武侯区	49.99
锦江区	50.71
金牛区	58.21
武侯区	50.91
成华区	50.76
锦江区	50.74
锦江区	50.89
青羊区	50.74
金牛区	41.64
成华区	59.15
锦江区	59.14
青羊区	59.14
青羊区	41.5
武侯区	60.26
武侯区	59.44
金牛区	59.15
成华区	59.14
锦江区	58.59
锦江区	58.59
金牛区	58.84
成华区	59.21
青羊区	58.84
青羊区	58.69
锦江区	58.84
锦江区	58.59
成华区	59.68
锦江区	57.71
金牛区	58.72
高新区	58.72
锦江区	59.02
金牛区	50.06
高新区	49.85
金牛区	48.06
青羊区	48.06
金牛区	50.1
成华区	50.06
青羊区	48.06
金牛区	49.85
金牛区	50.46
金牛区	59.43
金牛区	59.43
青羊区	35.4
金牛区	59.15
锦江区	41.64
成华区	49.2
武侯区	51.27
武侯区	50.89
金牛区	50.0
锦江区	58.19
金牛区	50.74
金牛区	50.74
青羊区	60.28
青羊区	60.28
成华区	59.1
锦江区	59.31
锦江区	59.65
锦江区	59.73
武侯区	59.73
锦江区	38.94
金牛区	49.46
高新区	49.46
高新区	49.24
成华区	49.24
成华区	49.24
金牛区	51.27
锦江区	51.27
锦江区	51.27
金牛区	59.21
锦江区	59.21
金牛区	58.84
金牛区	59.21
青羊区	58.69
锦江区	55.72
成华区	59.43
成华区	35.4
青羊区	59.15
金牛区	41.5
金牛区	58.59
青羊区	58.84
武侯区	59.14
锦江区	58.72
武侯区	57.71
武侯区	57.71
青羊区	58.72
高新区	41.5
成华区	35.4
青羊区	59.15
青羊区	59.15
青羊区	59.14
锦江区	59.14
锦江区	50.74
武侯区	58.18
锦江区	50.88
成华区	50.74
青羊区	59.14
锦江区	59.14
青羊区	51.29
金牛区	41.5
金牛区	41.64
青羊区	41.64
青羊区	59.15
成华区	58.84
锦江区	49.99
锦江区	58.18
金牛区	57.71
高新区	58.72
武侯区	59.14
成华区	50.05
